NameTo,NameFrom,To,From,Migrants,PopulationTo,PopulationFrom,Distance
Agglomeratie Haarlem ,Delft en Westland ,21,27,57,217606,210980,49.52
Agglomeratie Haarlem ,Oost-Zuid-Holland ,21,28,91,217606,322858,34.47
Agglomeratie Haarlem ,Groot-Rijnmond ,21,29,156,217606,1359640,62.18
Agglomeratie Haarlem ,Zuidoost-Zuid-Holland ,21,30,40,217606,398963,60.28
Agglomeratie Haarlem ,Flevoland ,21,40,153,217606,351680,65.77
Zaanstreek ,Utrecht ,22,17,107,154974,1152218,48.58
Zaanstreek ,Kop van Noord-Holland ,22,18,228,154974,361764,47.38
Zaanstreek ,Alkmaar en omgeving ,22,19,128,154974,223936,20.11
Zaanstreek ,IJmond ,22,20,224,154974,187456,9.4
Zaanstreek ,Agglomeratie Haarlem ,22,21,88,154974,217606,16.72
Zaanstreek ,Zaanstreek ,22,22,0,154974,154974,0
Zaanstreek ,Groot-Amsterdam ,22,23,2104,154974,1184987,7.9
Zaanstreek ,Het Gooi en Vechtstreek ,22,24,48,154974,242397,34.73
Zaanstreek ,Aggl. Leiden en Bollenstreek ,22,25,41,154974,387763,36.36
Zaanstreek ,Agglomeratie 's-Gravenhage ,22,26,81,154974,759778,53.28
Zaanstreek ,Delft en Westland ,22,27,25,154974,210980,65.73
Zaanstreek ,Oost-Zuid-Holland ,22,28,34,154974,322858,45.97
Zaanstreek ,Groot-Rijnmond ,22,29,123,154974,1359640,77.77
Zaanstreek ,Zuidoost-Zuid-Holland ,22,30,28,154974,398963,69.83
Zaanstreek ,Flevoland ,22,40,124,154974,351680,51.31
Groot-Amsterdam ,Utrecht ,23,17,3432,1184987,1152218,41.03
Groot-Amsterdam ,Kop van Noord-Holland ,23,18,1587,1184987,361764,54.15
Groot-Amsterdam ,Alkmaar en omgeving ,23,19,972,1184987,223936,27.88
Groot-Amsterdam ,IJmond ,23,20,720,1184987,187456,15.44
Groot-Amsterdam ,Agglomeratie Haarlem ,23,21,2632,1184987,217606,15.28
Groot-Amsterdam ,Zaanstreek ,23,22,1378,1184987,154974,7.9
Groot-Amsterdam ,Groot-Amsterdam ,22,22,0,1184987,1184987,0
Groot-Amsterdam ,Het Gooi en Vechtstreek ,23,24,1496,1184987,242397,27.77
Groot-Amsterdam ,Aggl. Leiden en Bollenstreek ,23,25,1811,1184987,387763,32.2
Groot-Amsterdam ,Agglomeratie 's-Gravenhage ,23,26,1581,1184987,759778,48.92
Groot-Amsterdam ,Delft en Westland ,23,27,405,1184987,210980,61.37
Groot-Amsterdam ,Oost-Zuid-Holland ,23,28,705,1184987,322858,39.12
Groot-Amsterdam ,Groot-Rijnmond ,23,29,1471,1184987,1359640,72.62
Groot-Amsterdam ,Zuidoost-Zuid-Holland ,23,30,278,1184987,398963,62.3
Groot-Amsterdam ,Flevoland ,23,40,2375,1184987,351680,50.51
Het Gooi en Vechtstreek ,Utrecht ,24,17,1492,242397,1152218,15.42
Het Gooi en Vechtstreek ,Kop van Noord-Holland ,24,18,137,242397,361764,71.96
Het Gooi en Vechtstreek ,Alkmaar en omgeving ,24,19,66,242397,223936,52.18
Het Gooi en Vechtstreek ,IJmond ,24,20,40,242397,187456,43.2
Het Gooi en Vechtstreek ,Agglomeratie Haarlem ,24,21,103,242397,217606,38.73
Het Gooi en Vechtstreek ,Zaanstreek ,24,22,67,242397,154974,34.73
Het Gooi en Vechtstreek ,Groot-Amsterdam ,24,23,1871,242397,1184987,27.77
Het Gooi en Vechtstreek ,Het Gooi en Vechtstreek ,24,24,0,242397,242397,0
Het Gooi en Vechtstreek ,Aggl. Leiden en Bollenstreek ,24,25,92,242397,387763,44.61
Het Gooi en Vechtstreek ,Agglomeratie 's-Gravenhage ,24,26,218,242397,759778,57.14
Het Gooi en Vechtstreek ,Delft en Westland ,24,27,56,242397,210980,67.96
Het Gooi en Vechtstreek ,Oost-Zuid-Holland ,24,28,127,242397,322858,36.99
Het Gooi en Vechtstreek ,Groot-Rijnmond ,24,29,220,242397,1359640,74.71
Het Gooi en Vechtstreek ,Zuidoost-Zuid-Holland ,24,30,62,242397,398963,49.45
Het Gooi en Vechtstreek ,Flevoland ,24,40,697,242397,351680,42.24
Aggl. Leiden en Bollenstreek ,Utrecht ,25,17,530,387763,1152218,48.7
Aggl. Leiden en Bollenstreek ,Kop van Noord-Holland ,25,18,129,387763,361764,82.57
Aggl. Leiden en Bollenstreek ,Alkmaar en omgeving ,25,19,87,387763,223936,53.28
Aggl. Leiden en Bollenstreek ,IJmond ,25,20,105,387763,187456,34.86
